"District","Longitude","Latitude"
"ASHOKNAGAR",77.7302895,24.576189
"CHHINDWARA",78.79883296,22.20718965
"DEWAS",76.166667,23
"GUNA",77.5,24.5
"HARDA",77.1015504,22.3390401
"INDORE",75.8681996,22.7203616
"KHANDWA",76.56753443,21.9769779
"KHARGONE",75.614182,21.825599
"MANDSAUR",75.38569204,24.2628148
"RAISEN",78.083333,23.25
"RAJGARH",76.77447034,23.87167065
"SAGAR",78.75825399,23.80830755
"SEHORE",77.06653558,23.11500415
"SHAJAPUR",76.60747943,23.41710015
"SHIVPURI",77.82788661,25.37412155
"TIKAMGARH",79.0472546,24.85521045
"UJJAIN",75.7716562,23.1885131
"VIDISHA",77.8063184,23.5208128

