Price Date,Balasore,Bargarh,Dhenkanal,Ganjam,Kalahandi,Nayagarh
01-01-2012,1400,966.6666667,1250,1385,1000,1475
01-02-2012,900,800,1000,1425,1800,1500
01-03-2012,600,1083.333333,1650,925,1850,825
01-04-2012,1200,875,1000,950,1250,1000
01-05-2012,1700,800,1000,1250,2000,1275
01-06-2012,3000,2700,3000,2350,2200,2575
01-07-2012,1600,1025,1933.333333,1200,1500,2375
01-08-2012,2350,1725,2166.666667,1700,2100,2375
01-09-2012,1950,900,1933.333333,1840,2025,1575
01-10-2012,1800,1050,2000,2450,2000,1150
01-11-2012,2200,825,1833.333333,2400,2000,1375
01-12-2012,800,712.5,1633.333333,1300,2000,1275
01-01-2013,1400,666.6666667,1633.333333,1500,1000,1500
01-02-2013,1400,750,1133.333333,1400,1375,1100
01-03-2013,800,875,1066.666667,1200,1750,1275
01-04-2013,1400,625,1000,1200,1500,925
01-05-2013,2500,1400,2600,2575,1400,2275
01-06-2013,3000,1475,1500,1590,1500,2475
01-07-2013,3500,1250,3350,2733.333333,2125,3200
01-08-2013,3700,1666.666667,1925,1650,2650,1675
01-09-2013,1200,1225,1750,2125,2850,1375
01-10-2013,2500,2000,3500,3250,3500,3000
01-11-2013,2500,800,2500,3800,2000,3400
01-12-2013,2000,775,2000,1300,2100,1800
01-01-2014,2000,725,1425,1800,1100,1850
01-02-2014,1600,883.3333333,2150,2200,2000,1775
01-03-2014,1500,716.6666667,1500,500,1500,575
01-04-2014,700,625,1000,2000,2050,925
01-05-2014,700,1037.5,1000,1200,2000,1050
01-06-2014,2000,1216.666667,4000,2500,1500,3800
01-07-2014,3500,2550,3750,2500,3000,3625
01-08-2014,2750,1400,3133.333333,2000,2750,1900
01-09-2014,2800,1800,2400,2800,3000,2050
01-10-2014,2200,1650,2766.666667,2400,2500,1900
01-11-2014,1400,1300,2000,2000,2325,1650
01-12-2014,1150,866.6666667,1875,1600,1750,1500
01-01-2015,1200,1075,1250,1566.666667,2000,1800
01-02-2015,1125,900,1000,1400,1500,1675
01-03-2015,1900,1575,3033.333333,2200,1950,1900
01-04-2015,2275,1200,2200,1500,1750,1825
01-05-2015,1900,1300,3150,2050,2350,1900
01-06-2015,1400,1100,2600,2400,2000,2825
01-07-2015,3133.333333,1925,3766.666667,3200,2000,1900
01-08-2015,2225,1266.666667,2000,3000,2000,1775
01-09-2015,1600,1550,1933.333333,1800,2233.333333,1775
01-10-2015,3200,1433.333333,3100,2600,2400,1825
01-11-2015,1375,1580,2466.666667,2300,2000,1825
01-12-2015,2100,1716.666667,2766.666667,3000,2500,2800
01-01-2016,1750,1600,2250,2050,2000,2400
01-02-2016,1050,1060,2900,1800,1000,1400
01-03-2016,2137.5,1733.333333,3250,2025,2933.333333,2275
01-04-2016,2116.666667,2200,2100,2050,2650,850
01-05-2016,1575,1112.5,2050,1050,2000,1450
01-06-2016,2050,1325,2666.666667,2600,3000,2600
01-07-2016,2550,1200,3250,3050,2100,2000
01-08-2016,2800,900,3000,3250,1500,2950
01-09-2016,2350,1050,2833.333333,2833.333333,2066.666667,1450
01-10-2016,2433.333333,1850,2400,1900,1950,2000
01-11-2016,1850,1350,2250,2400,2000,1050
01-12-2016,700,1066.666667,1800,2000,2000,1450
01-01-2017,900,1100,1000,1500,1600,1550
01-02-2017,800,450,1000,1600,2000,1350
01-03-2017,1800,1200,2150,1200,3300,1200
01-04-2017,1800,1350,2000,1800,1400,1000
01-05-2017,1600,800,2000,2000,1800,1250
01-06-2017,2200,1150,3000,2900,3000,2475
01-07-2017,3566.666667,2280,4500,3950,4000,3850
01-08-2017,3500,2200,2500,2900,2600,2400
01-09-2017,1400,600,2500,2300,1500,1300
01-10-2017,4166.666667,2000,3666.666667,3600,3000,2550
01-11-2017,2400,1450,4500,2250,4300,1900
01-12-2017,2025,1400,3750,2550,2750,1800
01-01-2018,2500,1400,2250,1900,1833.333333,1900
01-02-2018,1200,700,1500,1900,1300,1450
01-03-2018,1850,1633.333333,2333.333333,2000,950,2450
01-04-2018,2100,1300,3000,2633.333333,2200,1550
01-05-2018,1300,1440,2666.666667,2250,1600,2350
01-06-2018,3200,1400,3000,2200,2000,2450
01-07-2018,3600,2725,3433.333333,2650,2850,2800
01-08-2018,1700,1766.666667,3300,2166.666667,3050,2600
01-09-2018,2300,1700,2925,2500,2500,2350
01-10-2018,2200,1825,3700,2500,4000,2400
01-11-2018,2266.666667,1250,3133.333333,2500,2500,1800
01-12-2018,2250,1200,2375,2800,2200,2300
01-01-2019,1916.666667,1400,1725,2000,2600,2500
01-02-2019,1600,1100,1225,1766.666667,2000,850
01-03-2019,1416.666667,1750,2925,2300,3000,2600
01-04-2019,2437.5,1725,2100,2400,3850,2600
01-05-2019,2283.333333,1575,3375,3000,2000,3000
01-06-2019,2766.666667,800,3250,2300,2000,2000
01-07-2019,2600,2200,2933.333333,3000,2750,2900
01-08-2019,2300,2850,2800,3600,2000,2100
01-09-2019,2733.333333,2100,3325,3250,2000,2800
01-10-2019,2866.666667,2200,3550,3200,3250,2650
01-11-2019,3500,1950,3550,3250,4000,4200
01-12-2019,2083.333333,1050,3200,3800,3250,2300
01-01-2020,2550,900,3250,2800,3000,2400
01-02-2020,2450,1300,3550,3200,1800,2500
01-03-2020,1200,1566.666667,2100,950,2850,1800
01-04-2020,2950,1475,1550,1400,2500,750
01-05-2020,2850,866.6666667,1700,1800,1750,600
01-06-2020,3750,2200,5250,4800,1000,4000
01-07-2020,3775,1600,3250,2800,4000,3100
01-08-2020,5800,2600,4250,3800,3500,3900
01-09-2020,3100,1733.333333,4200,2400,4500,1800
01-10-2020,3200,4300,4750,3650,3500,5000
01-11-2020,1150,1500,3350,2750,3500,2100
01-12-2020,1900,1850,3325,3000,3000,2500
01-01-2021,1200,2800,3125,2000,2500,2300
01-02-2021,1350,1166.666667,2000,2500,2000,1000
01-03-2021,2500,1300,1500,1500,2000,1450
01-04-2021,1300,1300,2250,1150,3000,1400
01-05-2021,3500,900,2325,2000,2000,1700
01-06-2021,4200,900,4250,4150,3200,3000
01-07-2021,1700,700,2875,2600,3000,1700
01-08-2021,1550,1600,2666.666667,2000,3500,1100
01-09-2021,2600,1250,3000,2150,2250,2000
01-10-2021,3450,1000,4125,6000,2000,3000
01-11-2021,1850,1000,3450,3600,3500,2900
01-12-2021,2700,2200,4433.333333,4800,5000,3550
01-01-2022,1350,1500,3125,3500,2000,1800
01-02-2022,1450,1500,2400,2150,2500,2000
01-03-2022,1175,1250,2650,3200,1200,2900
01-04-2022,2900,900,4000,2100,2000,2000
01-05-2022,2300,2050,2250,2100,5000,1450
01-06-2022,2400,1666.666667,4000,3400,4000,3000
01-07-2022,2250,1300,3600,3250,3500,4200
01-08-2022,2400,2050,5750,2400,6000,5200
01-09-2022,3300,2425,3250,3200,4000,2500
01-10-2022,2400,2240,3900,3000,2000,3250
01-11-2022,1225,1400,1900,2100,3500,1400
01-12-2022,1475,1300,2750,1900,2500,1600
01-01-2023,1100,1650,2750,2200,2500,1400
01-02-2023,1300,1750,2000,2000,2000,1100
01-03-2023,2500,1700,3100,1400,3000,1700
01-04-2023,1500,1600,2250,3000,1000,1000
01-05-2023,2200,1550,3750,2100,3000,2550
01-06-2023,3400,1750,4250,2300,4000,3750
01-07-2023,3200,2366.666667,4400,3975,6000,4500
01-08-2023,3500,3240,5000,3250,5200,3450
01-09-2023,3500,2000,4500,3600,2000,4425
01-10-2023,2000,2550,3400,3400,2400,2500
01-11-2023,2150,2725,3850,3100,2366.666667,3600
01-12-2023,3300,2000,5250,3750,6200,5000
01-01-2024,2066.666667,1825,2750,2500,1800,1527.5
01-02-2024,1325,1760,2000,3000,2016.666667,2477.5
01-03-2024,1825,2250,1800,3150,1000,1877.5
01-04-2024,1800,3000,2500,2166.666667,2650,975
01-05-2024,2000,2150,2900,2250,3450,1600
01-06-2024,4300,2475,5500,3150,1900,3500
01-07-2024,2800,3300,5000,3666.666667,3300,5000
01-08-2024,3300,2775,4400,6000,5350,3000
01-09-2024,3850,3760,3750,3150,2825,3179
01-10-2024,2500,4300,4750,3850,5500,3550

